image_id,psnr_delta,psnr_improved,ssim_delta,ssim_improved,rmse_delta,rmse_improved,mae_delta,mae_improved,bias_delta,bias_improved,r2_delta,r2_improved,pearson_delta,pearson_improved
ntl_chip_Baixo_Guandu_905,2.7744789123535227,1,0.03465074300765991,1,0.006134556606411899,1,0.0019783060997725,1,-0.00019937069737346958,0,0.05277311801910389,1,0.024175167083740123,1
ntl_chip_Bamukumbit_1039,1.054592132568363,1,0.11864149570465088,1,0.0060406103730202,1,0.005884915590286199,1,-4.298669227859999e-05,0,0.06182384490966797,1,0.03240859508514404,1
ntl_chip_Bareilly_1663,1.5009574890136719,1,0.05782574415206909,1,0.004354992881417299,1,0.0025331880897283,1,-0.001248139262315807,0,0.01875793933868397,1,0.009427130222320779,1
ntl_chip_Barletta_1738,2.9625892639160156,1,0.032019078731536865,1,0.0083020608872175,1,0.0036207996308803003,1,-0.0002062515704891703,0,0.019419491291046143,1,0.009301900863647572,1
ntl_chip_Barstow_530,2.7199783325195312,1,0.021186411380767933,1,0.006146129220724099,1,0.0019153053872288002,1,-0.0001117876890929779,0,0.03606158494949363,1,0.017180800437927357,1
ntl_chip_Bedourie_725,0.890111923217777,1,0.12829291820526123,1,0.004362404346466002,1,0.003314409404993099,1,-0.0022815596930740303,0,0.10495626926422125,1,0.06270444393157959,1
ntl_chip_Belazao_1863,1.222747802734375,1,0.06358379125595093,1,0.0032677967101335005,1,0.002007253468036603,1,-0.00011919080498041387,0,0.044321656227111816,1,0.022727668285369762,1
ntl_chip_Beloozerskiy_192,1.3833370208740305,1,0.08763211965560913,1,0.008463419973850299,1,0.006596576422452899,1,-0.0014872293104417,0,0.03962618112564087,1,0.01933330297470104,1
ntl_chip_Bidur_1988,1.7396907806396449,1,0.07346868515014648,1,0.007273718714714002,1,0.0045411009341478,1,-0.0009198125044348947,0,0.025615155696869008,1,0.012654006481170543,1
ntl_chip_Bilenke_394,1.0040512084960938,1,0.14737576246261597,1,0.005767036229372004,1,0.004735223948955501,1,-0.004299341060686839,0,0.10074496269226074,1,0.05699211359024048,1
ntl_chip_Borgampad_1500,1.3708419799804759,1,0.059893250465393066,1,0.004123277962207798,1,0.002476703375577899,1,-0.0002678189794096163,0,0.028246581554412953,1,0.01412898302078247,1
ntl_chip_Brejo_da_Madre_de_Deus_943,2.5901222229003906,1,0.03384375572204579,1,0.005388523451983899,1,0.0021073240786790987,1,-7.810348324710503e-05,0,0.026659488677978405,1,0.012694120407104381,1
ntl_chip_Bubanza_779,1.6582412719726562,1,0.04613661766052246,1,0.0037434417754411975,1,0.0019228141754865005,1,-0.00027121656967203487,0,0.02148020267486561,1,0.010852575302124023,1
ntl_chip_Bucak_365,2.928791046142578,1,0.0555589199066161,1,0.008146349340677303,1,0.0040827970951795006,1,-0.0002445827267366,0,0.0479247570037844,1,0.02219712734222412,1
ntl_chip_Burglengenfeld_1235,2.6429004669189453,1,0.06013321876525879,1,0.008661419153213501,1,0.004692412912845599,1,-0.0004396600397740016,0,0.033209025859832764,1,0.015938341617584006,1
ntl_chip_Buriti_do_Tocantins_815,2.7397079467773438,1,0.03921252489089966,1,0.006059639155864702,1,0.001940430141985399,1,-0.00013734936874236324,0,0.08578729629516602,1,0.0389673113822937,1
ntl_chip_Buug_82,1.0407772064208949,1,0.07631266117095947,1,0.004080705344676999,1,0.0027872249484062993,1,-0.0006928148504811542,0,0.09062105417251587,1,0.04966604709625244,1
ntl_chip_Cadale_282,0.8063488006591797,1,0.14593541622161865,1,0.005399473011493704,1,0.004325408488512095,1,-0.0034464016280253214,0,0.08381998538970947,1,0.05117833614349365,1
ntl_chip_Cadiz_1339,3.019245147705078,1,0.028243303298950195,1,0.008606756106019,1,0.0039625139907002,1,-0.0005324210851540323,0,0.014208078384399414,1,0.006815552711486816,1
ntl_chip_Canarana_I_872,1.9318695068359375,1,0.017600953578949197,1,0.0025511803105473,1,0.0009899074211716001,1,-0.0004800630049430687,0,0.024720370769500843,1,0.011780381202697976,1
